date,site.id,plot.id,plant.id,trt,seed.present,seeds,ash,bag,pollen,notes
8/31/23,CO,1,1,CU,1,2,control,unbagged,none,
8/31/23,CO,1,1,AU,1,2,ash,unbagged,none,
8/31/23,CO,1,1,AU+,1,2,ash,unbagged,supplement,
8/31/23,CO,1,1,CU,1,2,control,unbagged,none,
8/31/23,CO,1,2,AB+,0,0,ash,bag,supplement,
8/31/23,CO,1,2,CB+,1,4,control,bag,supplement,
8/31/23,CO,1,2,CB,1,3,control,bag,none,
8/31/23,CO,1,2,CB,1,2,control,bag,none,
8/31/23,CO,1,2,AB,1,1,ash,bag,none,
8/31/23,CO,1,2,AB,1,1,ash,bag,none,
8/31/23,CO,1,2,AB,1,2,ash,bag,none,
8/31/23,CO,1,2,AB,1,2,ash,bag,none,
8/31/23,CO,1,2,CB,1,4,control,bag,none,
8/31/23,CO,1,2,CU,1,4,control,unbagged,none,
8/31/23,CO,2,3,CB+,0,0,control,bag,supplement,
8/31/23,CO,2,4,AU,0,0,ash,unbagged,none,
8/31/23,CO,2,4,AU+,0,0,ash,unbagged,supplement,
8/31/23,CO,2,4,CU,1,2,control,unbagged,none,
8/31/23,CO,2,5,AU,1,3,ash,unbagged,none,
8/31/23,CO,2,5,AU+,1,4,ash,unbagged,supplement,
8/31/23,CO,2,5,AU+,0,0,ash,unbagged,supplement,
8/31/23,CO,2,6,AB+,0,0,ash,bag,supplement,
8/31/23,CO,2,6,CB,0,0,control,bag,none,
8/31/23,CO,2,6,CB,1,1,control,bag,none,
8/31/23,CO,2,6,CB,0,0,control,bag,none,
8/31/23,CO,2,6,AB,0,0,ash,bag,none,
8/31/23,CO,2,7,AB,0,0,ash,bag,none,
8/31/23,CO,2,7,CB+,1,4,control,bag,supplement,
8/31/23,CO,2,7,AB,0,0,ash,bag,none,
8/31/23,CO,2,7,CB+,0,0,control,bag,supplement,
8/31/23,CO,2,7,CB+ ,1,3,control,bag,supplement,
8/31/23,CO,2,7,AB+,0,0,ash,bag,supplement,
8/31/23,CO,2,7,AB,0,0,ash,bag,none,
8/31/23,CO,2,7,CB+,0,0,control,bag,supplement,
8/31/23,CO,2,7,CB,1,1,control,bag,none,
8/31/23,CO,2,8,AU,0,0,ash,unbagged,none,
8/31/23,CO,2,8,CU+,1,1,control,unbagged,supplement,
8/31/23,CO,2,8,AU+,0,0,ash,unbagged,supplement,
8/31/23,CO,2,8,AU+,0,0,ash,unbagged,supplement,
8/31/23,CO,2,8,AU+,1,1,ash,unbagged,supplement,
8/31/23,CO,2,8,CU+,0,0,control,unbagged,supplement,
8/31/23,CO,2,8,AU,1,1,ash,unbagged,none,
8/31/23,CO,2,8,CU,1,1,control,unbagged,none,
8/31/23,CO,2,8,CU+,1,1,control,unbagged,supplement,
8/31/23,CO,2,8,AU,1,1,ash,unbagged,none,
8/31/23,CO,2,8,AU,0,0,ash,unbagged,none,
8/31/23,CO,2,8,AU,0,0,ash,unbagged,none,
8/31/23,CO,2,8,AU+,0,0,ash,unbagged,supplement,
8/31/23,CO,2,8,CB,0,0,control,bag,none,
8/31/23,CO,2,8,AB,0,0,ash,bag,none,
8/31/23,CO,2,8,AB,1,1,ash,bag,none,
8/31/23,CO,2,8,CB,1,2,control,bag,none,
8/31/23,CO,2,8,CB,1,2,control,bag,none,
8/31/23,CO,2,8,CU,1,1,control,unbagged,none,
8/31/23,CO,2,8,CU+,1,1,control,unbagged,supplement,
8/31/23,CO,2,8,AB,0,0,ash,bag,none,
8/31/23,CO,2,8,AB,0,0,ash,bag,none,
8/31/23,CO,2,8,CU,1,2,control,unbagged,none,
8/31/23,CO,2,8,CU+,1,3,control,unbagged,supplement,
8/31/23,CO,2,8,CU,1,1,control,unbagged,none,
8/31/23,CO,2,8,AU,1,1,ash,unbagged,none,
8/31/23,CO,2,8,AB+,0,0,ash,bag,supplement,
8/31/23,CO,2,8,CB,0,0,control,bag,none,
8/31/23,CO,2,8,AB+,1,1,ash,bag,supplement,
8/31/23,CO,2,8,AB,0,0,ash,bag,none,
8/31/23,CO,2,8,CB,1,1,control,bag,none,
8/31/23,CO,2,8,AB+,0,0,ash,bag,supplement,
8/31/23,CO,2,8,AB,1,1,ash,bag,none,
8/31/23,CO,2,8,AU+,0,0,ash,unbagged,supplement,
8/31/23,CO,2,8,CB,0,0,control,bag,none,
8/31/23,CO,2,8,CU,0,0,control,unbagged,none,
8/31/23,CO,2,8,CU,1,2,control,unbagged,none,
8/31/23,CO,2,8,AU,0,0,ash,unbagged,none,
8/31/23,CO,2,8,AU+,0,0,ash,unbagged,supplement,
8/31/23,CO,2,8,AU,1,2,ash,unbagged,none,
8/31/23,CO,2,8,AU,0,0,ash,unbagged,none,
8/31/23,CO,2,8,CU,1,2,control,unbagged,none,
8/31/23,CO,2,8,AB+,0,0,ash,bag,supplement,
8/31/23,CO,2,8,AB+,1,1,ash,bag,supplement,
8/31/23,CO,2,8,CB,1,2,control,bag,none,
8/31/23,CO,2,8,CB+,1,1,control,bag,supplement,
8/31/23,CO,2,8,AB,0,0,ash,bag,none,
8/31/23,CO,2,8,AB,0,0,ash,bag,none,
8/31/23,CO,2,8,CB,1,1,control,bag,none,
8/31/23,CO,2,8,CB,0,0,control,bag,none,
8/31/23,CO,2,8,CB+,0,0,control,bag,supplement,
8/31/23,CO,2,8,AB+,0,0,ash,bag,supplement,
8/31/23,CO,2,8,AB,0,0,ash,bag,none,
8/31/23,CO,2,9,AU,0,0,ash,unbagged,none,
8/31/23,CO,2,9,AU+,0,0,ash,unbagged,supplement,
8/31/23,CO,2,10,CB+,1,1,control,bag,supplement,
8/31/23,CO,2,11,AB,0,0,ash,bag,none,
8/31/23,CO,2,12,CB,1,1,control,bag,none,
8/31/23,CO,2,12,AB+,1,2,ash,bag,supplement,
8/31/23,CO,2,13,AB,0,0,ash,bag,none,
8/31/23,CO,2,13,AB,0,0,ash,bag,none,
8/31/23,CO,2,14,AU+,0,0,ash,unbagged,supplement,
8/31/23,CO,2,14,AU,1,1,ash,unbagged,none,
8/31/23,CO,2,14,CB,1,1,control,bag,none,
8/31/23,CO,2,14,CB,1,1,control,bag,none,
8/31/23,CO,2,14,AB,1,2,ash,bag,none,
8/31/23,CO,2,14,AB+,1,1,ash,bag,supplement,
8/31/23,CO,2,14,CB+,0,0,control,bag,supplement,
8/31/23,CO,2,14,CB+,0,0,control,bag,supplement,
9/1/23,CO,2,15,AU+,1,1,ash,unbagged,supplement,
9/1/23,CO,2,15,CU,1,4,control,unbagged,none,
9/1/23,CO,2,15,CU,1,1,control,unbagged,none,
9/1/23,CO,2,15,CU+,1,2,control,unbagged,supplement,
9/1/23,CO,2,15,AU,1,3,ash,unbagged,none,
9/1/23,CO,2,15,AU,1,3,ash,unbagged,none,
9/1/23,CO,2,15,CU,1,3,control,unbagged,none,
9/1/23,CO,2,15,CU,1,3,control,unbagged,none,
9/1/23,CO,2,15,CU+,1,2,control,unbagged,supplement,
9/1/23,CO,2,15,AB,1,3,ash,bag,none,
9/1/23,CO,2,15,AB+,0,0,ash,bag,supplement,
9/1/23,CO,2,15,CB,1,3,control,bag,none,
9/1/23,CO,2,15,CB,0,0,control,bag,none,
9/1/23,CO,2,16,CB,0,0,control,bag,none,
9/1/23,CO,2,16,CB,1,2,control,bag,none,
9/1/23,CO,2,16,CB,1,4,control,bag,none,
9/1/23,CO,2,16,AB+,0,0,ash,bag,supplement,
