ResponseId,Image.Set,Image,Location,Preference,RCP,Scenic,MR1.Experience,MR2.Access,MR3.Engagement
R_00qpoRZl9uEnxnn,1,1,GRTE_SMS,0,4.5,N,0.589672292,-0.080947036,0.28169525
R_00qpoRZl9uEnxnn,1,2,YELL_MWN,-3,8.5,N,0.589672292,-0.080947036,0.28169525
R_00qpoRZl9uEnxnn,1,3,YELL_CPOF,-3,4.5,Y,0.589672292,-0.080947036,0.28169525
R_00qpoRZl9uEnxnn,1,4,GRTE_MMT,3,8.5,Y,0.589672292,-0.080947036,0.28169525
R_0KM3RvberwgsqIX,1,1,GRTE_SMS,3,4.5,N,0.505665826,-0.229824462,-0.274696005
R_0KM3RvberwgsqIX,1,2,YELL_MWN,3,8.5,N,0.505665826,-0.229824462,-0.274696005
R_0KM3RvberwgsqIX,1,3,YELL_CPOF,2,4.5,Y,0.505665826,-0.229824462,-0.274696005
R_0KM3RvberwgsqIX,1,4,GRTE_MMT,3,8.5,Y,0.505665826,-0.229824462,-0.274696005
R_0LresyaErb5UzQ9,1,1,GRTE_SMS,3,4.5,N,1.06970946,0.976106404,-0.221186372
R_0LresyaErb5UzQ9,1,2,YELL_MWN,3,8.5,N,1.06970946,0.976106404,-0.221186372
R_0LresyaErb5UzQ9,1,3,YELL_CPOF,3,4.5,Y,1.06970946,0.976106404,-0.221186372
R_0LresyaErb5UzQ9,1,4,GRTE_MMT,3,8.5,Y,1.06970946,0.976106404,-0.221186372
R_0oeLnJjfbAL4bFP,1,1,GRTE_SMS,2,4.5,N,-0.699066736,-0.580480921,0.398081032
R_0oeLnJjfbAL4bFP,1,2,YELL_MWN,2,8.5,N,-0.699066736,-0.580480921,0.398081032
R_0oeLnJjfbAL4bFP,1,3,YELL_CPOF,1,4.5,Y,-0.699066736,-0.580480921,0.398081032
R_0oeLnJjfbAL4bFP,1,4,GRTE_MMT,3,8.5,Y,-0.699066736,-0.580480921,0.398081032
R_0TQk3rYMgV8bob1,1,1,GRTE_SMS,3,4.5,N,-1.136739187,0.387211003,0.16397594
R_0TQk3rYMgV8bob1,1,2,YELL_MWN,3,8.5,N,-1.136739187,0.387211003,0.16397594
R_0TQk3rYMgV8bob1,1,3,YELL_CPOF,3,4.5,Y,-1.136739187,0.387211003,0.16397594
