date,site,trt,mean.burrow.diameter,mean.temp,count,count.diff
10/16/2020,1,Compact,20.28,19.2712,8,0
10/16/2020,1,Control,18.448,19.2712,5,0
10/16/2020,1,Marine.Debris,15.3225,19.2712,4,0
10/16/2020,1,Rake,22.43571429,19.2712,7,0
10/16/2020,2,Compact,27.3125,19.2712,8,0
10/16/2020,2,Control,26.76444444,19.2712,9,0
10/16/2020,2,Marine.Debris,15.272,19.2712,5,0
10/16/2020,2,Rake,25.11833333,19.2712,6,0
10/16/2020,3,Compact,16.50285714,19.2712,7,0
10/16/2020,3,Control,19.52714286,19.2712,7,0
10/16/2020,3,Marine.Debris,15.445,19.2712,12,0
10/16/2020,3,Rake,17.13714286,19.2712,14,0
10/16/2020,4,Compact,19.67176471,19.2712,17,0
10/16/2020,4,Control,23.84222222,19.2712,9,0
10/16/2020,4,Marine.Debris,23.875,19.2712,6,0
10/16/2020,4,Rake,17.78,19.2712,6,0
10/16/2020,5,Compact,15.738,19.2712,5,0
10/16/2020,5,Control,16.24333333,19.2712,9,0
10/16/2020,5,Marine.Debris,24.31,19.2712,4,0
10/16/2020,5,Rake,11.61666667,19.2712,6,0
10/16/2020,6,Compact,26.05875,19.2712,8,0
10/16/2020,6,Control,29.374,19.2712,10,0
10/16/2020,6,Marine.Debris,24.21375,19.2712,8,0
10/16/2020,6,Rake,24.405,19.2712,8,0
10/16/2020,7,Compact,27.66714286,19.2712,7,0
10/16/2020,7,Control,22.163,19.2712,10,0
10/16/2020,7,Marine.Debris,19.367,19.2712,10,0
10/16/2020,7,Rake,33.53266667,19.2712,15,0
10/16/2020,8,Compact,33.53,19.2712,5,0
10/16/2020,8,Control,34.77714286,19.2712,7,0
10/16/2020,8,Marine.Debris,22.29,19.2712,4,0
10/16/2020,8,Rake,23.156,19.2712,5,0
10/16/2020,9,Compact,34.6325,19.2712,4,0
10/16/2020,9,Control,14.70285714,19.2712,7,0
10/16/2020,9,Marine.Debris,25.81888889,19.2712,9,0
10/16/2020,9,Rake,20.37375,19.2712,8,0
10/16/2020,10,Compact,18.13666667,19.2712,6,0
10/16/2020,10,Control,19.54214286,19.2712,14,0
10/16/2020,10,Marine.Debris,23.444,19.2712,5,0
10/16/2020,10,Rake,19.40818182,19.2712,11,0
10/17/2020,1,Compact,18.595,22.7656,6,-2
10/17/2020,1,Control,18.53,22.7656,10,5
10/17/2020,1,Marine.Debris,12.60888889,22.7656,9,5
10/17/2020,1,Rake,20.905,22.7656,8,1
10/17/2020,2,Compact,22.12,22.7656,10,2
10/17/2020,2,Control,18.37181818,22.7656,11,2
10/17/2020,2,Marine.Debris,13.78,22.7656,6,1
10/17/2020,2,Rake,25.20571429,22.7656,7,1
10/17/2020,3,Compact,19.12142857,22.7656,7,0
10/17/2020,3,Control,18.78428571,22.7656,7,0
10/17/2020,3,Marine.Debris,16.48333333,22.7656,9,-3
10/17/2020,3,Rake,23.42875,22.7656,8,-6
10/17/2020,4,Compact,28.25333333,22.7656,6,-11
10/17/2020,4,Control,21.92333333,22.7656,6,-3
10/17/2020,4,Marine.Debris,19.886,22.7656,5,-1
10/17/2020,4,Rake,30.64285714,22.7656,7,1
10/17/2020,5,Compact,8.725,22.7656,2,-3
10/17/2020,5,Control,18.40166667,22.7656,6,-3
10/17/2020,5,Marine.Debris,18.4,22.7656,9,5
10/17/2020,5,Rake,17.47,22.7656,4,-2
10/17/2020,6,Compact,26.016,22.7656,5,-3
10/17/2020,6,Control,37.9544,22.7656,10,0
10/17/2020,6,Marine.Debris,28.09571429,22.7656,7,-1
10/17/2020,6,Rake,27.12714286,22.7656,7,-1
10/17/2020,7,Compact,28.73,22.7656,3,-4
10/17/2020,7,Control,27.18555556,22.7656,9,-1
10/17/2020,7,Marine.Debris,29.2025,22.7656,8,-2
10/17/2020,7,Rake,36.12571429,22.7656,14,-1
10/17/2020,8,Compact,31.7,22.7656,1,-4
10/17/2020,8,Control,33.20714286,22.7656,7,0
10/17/2020,8,Marine.Debris,27.01,22.7656,8,4
10/17/2020,8,Rake,31.605,22.7656,6,1
10/17/2020,9,Compact,28.39,22.7656,4,0
10/17/2020,9,Control,28.53333333,22.7656,3,-4
10/17/2020,9,Marine.Debris,21.595,22.7656,8,-1
10/17/2020,9,Rake,23.81666667,22.7656,6,-2
10/17/2020,10,Compact,NA,22.7656,0,-6
10/17/2020,10,Control,30.132,22.7656,5,-9
10/17/2020,10,Marine.Debris,23.11625,22.7656,8,3
10/17/2020,10,Rake,26.83,22.7656,3,-8
10/18/2020,1,Compact,28.39333333,19.5636,3,-5
10/18/2020,1,Control,22.73,19.5636,2,-3
10/18/2020,1,Marine.Debris,20.125,19.5636,2,-2
10/18/2020,1,Rake,31.32,19.5636,2,-5
10/18/2020,2,Compact,31.0675,19.5636,4,-4
10/18/2020,2,Control,19.465,19.5636,6,-3
10/18/2020,2,Marine.Debris,20.8425,19.5636,4,-1
10/18/2020,2,Rake,20.06,19.5636,2,-4
10/18/2020,3,Compact,14.86,19.5636,6,-1
10/18/2020,3,Control,24.36,19.5636,5,-2
10/18/2020,3,Marine.Debris,28.60125,19.5636,8,-4
10/18/2020,3,Rake,28.4025,19.5636,4,-10
10/18/2020,4,Compact,32.47,19.5636,5,-12
10/18/2020,4,Control,12.13666667,19.5636,3,-6
10/18/2020,4,Marine.Debris,20.43,19.5636,5,-1
10/18/2020,4,Rake,17.972,19.5636,5,-1
10/18/2020,5,Compact,NA,19.5636,0,-5
10/18/2020,5,Control,20.92,19.5636,3,-6
10/18/2020,5,Marine.Debris,23.995,19.5636,2,-2
10/18/2020,5,Rake,NA,19.5636,0,-6
10/18/2020,6,Compact,38.22,19.5636,4,-4
10/18/2020,6,Control,36.674,19.5636,5,-5
10/18/2020,6,Marine.Debris,26.53571429,19.5636,7,-1
10/18/2020,6,Rake,40.33666667,19.5636,3,-5
10/18/2020,7,Compact,24.25,19.5636,4,-3
