ROUTE,STATION,LAT,LONG,WIND,GROUSE
1,1,561547,5080261,2.449489743,0
1,2,562065,5079884,0,0
1,3,562783,5079896,2.738612788,1
1,4,563581,5079907,1.897366596,0
1,5,563933,5080413,1.760681686,0
1,6,564046,5081027,1.341640786,0
1,7,564152,5081558,1.549193338,0
2,1,568560,5107475,1.673320053,0
2,2,569359,5107489,2.898275349,0
2,3,569755,5107096,2.167948339,0
2,4,570163,5107501,4.123105626,0
2,5,570157,5108282,3.807886553,0
2,6,569793,5108706,2.863564213,0
2,7,568998,5108675,3.049590136,0
2,8,568783,5108488,0,0
3,1,572301,5098623,2.236067977,0
3,2,571869,5099400,2.19089023,0
3,3,571889,5099932,2.167948339,1
3,4,571435,5098424,2.720294102,0
3,5,571014,5098601,2.738612788,0
3,6,570579,5098388,3.591656999,0
3,7,569782,5098385,3.405877273,0
4,1,558021,5097229,2.880972058,0
4,2,558578,5097003,0,1
4,3,558914,5096733,2.073644135,0
4,4,558970,5097521,0,0
4,5,558779,5098138,0,1
4,6,557982,5098118,0,0
4,7,557354,5098278,0,0
4,8,556896,5098727,0,0
5,2,538975,5084132,1.643167673,0
5,3,539761,5084113,1.183215957,0
5,4,539774,5083313,1.949358869,0
5,5,539792,5082511,1.341640786,0
5,6,539020,5082463,0,0
5,7,538226,5082466,1.449137675,0
5,8,538178,5083226,1.341640786,0
6,1,570326,5095891,2.302172887,0
6,2,569527,5095882,1.264911064,0
6,3,568818,5095524,3.478505426,0
6,4,568716,5094867,3.478505426,0
6,5,568635,5094094,2.588435821,0
6,6,569249,5094251,2.664582519,0
6,7,570048,5094263,2.738612788,0
6,8,570338,5094772,2.683281573,0
7,1,538890,5088152,1.516575089,0
7,2,538893,5088941,0,0
7,3,538903,5089715,0,0
7,4,538107,5089716,0,0
7,5,538897,5090542,0,1
7,6,538901,5091319,1.378404875,0
7,7,539692,5091297,1.414213562,0
7,8,540475,5091085,0,0
8,1,552824,5067500,3.271085447,0
8,2,553604,5067503,3.240370349,0
8,3,554150,5067142,1.816590212,0
8,4,554107,5066399,2.167948339,0
8,5,554103,5065598,1.897366596,0
8,6,553458,5065461,1.183215957,0
8,7,552668,5065476,2.738612788,0
8,8,552516,5066122,1.264911064,0
9,1,556513,5077073,3.847076812,0
9,2,557297,5077069,3.271085447,1
9,3,557780,5076683,2.073644135,0
9,4,557631,5075951,2.387467277,0
9,5,557655,5075376,3.346640106,0
9,6,557474,5074876,0,0
9,7,556703,5075036,0,0
9,8,556334,5075486,2.258317958,0
10,1,555691,5071001,1.549193338,0
10,2,555688,5071797,2.966479395,0
10,3,556357,5071920,1.816590212,0
10,4,557164,5071904,1.760681686,0
10,5,557718,5072165,2.880972058,0
10,6,557723,5072975,2.073644135,0
10,7,557458,5073823,2.073644135,0
10,8,556896,5073957,2.387467277,0
11,1,547616,5070292,3.577708764,0
11,2,546830,5070278,3.807886553,0
11,4,545511,5070832,4.242640687,0
11,5,545357,5071506,2.792848009,1
11,7,545358,5072317,1.897366596,0
11,8,544770,5071849,0,0
12,1,561401,5069680,4.110960958,1
12,2,562067,5069385,0,1
12,3,562482,5068736,2.50998008,0
12,4,562564,5067978,2.144761059,1
12,5,562218,5067629,2.664582519,0
12,6,561462,5067516,3.049590136,0
12,7,560661,5067494,1.341640786,0
12,8,559993,5067759,2.529822128,0
13,1,585888,5129864,2.93257566,0
13,2,586753,5129876,1.341640786,0
13,3,587484,5129895,1.61245155,0
13,4,587570,5130676,1.516575089,0
13,5,587636,5131458,2.167948339,0
13,6,586837,5131459,1.483239697,0
13,7,586013,5131425,1.414213562,0
13,8,585954,5130688,0,0
14,1,581481,5113677,2.738612788,1
14,2,580685,5113678,3.633180425,0
14,3,579889,5113669,3.255764119,0
14,4,579869,5112887,2.387467277,0
14,5,579879,5112087,2.810693865,0
14,6,580662,5112084,3.209361307,1
14,7,581465,5112096,3.714835124,0
14,8,581480,5112881,3.376388603,0
15,1,579876,5112072,2.28035085,1
15,2,579095,5112062,2.19089023,1
15,3,578299,5112050,2.408318916,0
15,4,578272,5111286,1.341640786,0
15,5,578271,5110487,3.1144823,1
15,6,579040,5110468,3.286335345,0
15,7,579830,5110488,2.720294102,1
15,8,579892,5111126,2.626785107,1
16,1,576667,5110426,3.54964787,0
16,2,577469,5110434,1.264911064,0
16,3,578274,5110441,1.140175425,0
16,4,578283,5109654,1.788854382,0
16,5,578294,5108825,1.095445115,0
16,6,577834,5108869,1.224744871,0
16,7,577044,5108844,1.264911064,0
16,8,576223,5109039,1.341640786,0
17,1,586293,5115550,2.966479395,0
17,2,585820,5115380,2.569046516,0
17,3,584890,5115369,3.286335345,0
17,4,584716,5114768,2.049390153,0
17,5,584708,5113966,2.236067977,0
17,6,585264,5113947,2.880972058,0
17,7,585566,5114495,2.121320344,0
17,8,586132,5114593,2.323790008,0
18,3,581455,5119626,1.643167673,1
18,4,581373,5118872,1.643167673,0
18,5,581391,5118255,1.449137675,0
18,6,581408,5117426,0,1
18,7,582165,5117607,0,1
18,8,582923,5117818,0,1
19,1,576611,5115250,2.50998008,0
19,2,575763,5115236,2.810693865,0
19,3,575015,5115230,2.073644135,0
19,4,575015,5114438,0,0
19,5,575030,5113633,1.816590212,0
19,6,575828,5113632,2.645751311,0
19,7,576638,5113651,2.810693865,0
19,8,576620,5114404,1.414213562,0
20,1,583918,5118370,4.123105626,0
20,2,584499,5118900,2.774887385,0
20,3,584618,5118165,1.673320053,0
20,4,584635,5117417,2.828427125,0
20,5,584657,5116540,1.974841766,0
20,6,584233,5116162,2.915475947,0
20,7,583452,5116180,1.549193338,0
20,8,583519,5116965,1.549193338,0
21,1,586963,5120240,0,1
21,2,586174,5120222,1.341640786,0
21,3,585425,5120109,0,1
21,4,584852,5119685,1.414213562,1
22,1,579256,5115710,2.387467277,0
22,2,578881,5115533,1.643167673,0
22,3,578262,5115239,2.302172887,1
22,4,577393,5115263,2.75680975,0
22,5,576699,5115252,2.213594362,0
22,6,576607,5116049,1.702938637,1
22,7,576604,5116864,1.974841766,1
23,1,578267,5113648,1.760681686,0
23,2,577467,5113649,2.738612788,0
23,3,576788,5113592,2.664582519,0
23,4,576656,5113004,1.549193338,0
23,5,576684,5112206,3.820994635,0
23,6,577425,5112073,1.949358869,0
23,7,578212,5112048,2.213594362,0
23,8,578257,5112806,1.341640786,0
24,1,575446,5112025,2.50998008,0
24,2,574649,5112017,2.121320344,0
24,3,573979,5112009,2.880972058,0
24,4,573384,5111667,2.19089023,0
24,5,573379,5110866,2.898275349,0
24,6,573699,5110407,3.209361307,0
24,7,574501,5110422,2.983286778,0
24,8,575054,5110605,1.702938637,0
25,1,573349,5113746,0,1
25,2,573337,5114604,0,1
25,3,573288,5115221,0,1
25,4,572528,5115360,0,0
25,5,571816,5115298,0,0
25,6,571303,5114785,0,0
25,7,570698,5114532,0,0
25,8,570262,5113906,0,0
