date,site,trt,burrow.diameter ,mean.temp
10/16/2022,1,Control,22.52,19.2712
10/16/2022,1,Control,26.85,19.2712
10/16/2022,1,Control,15.89,19.2712
10/16/2022,1,Control,7.4,19.2712
10/16/2022,1,Control,19.58,19.2712
10/16/2022,1,Compact,12.6,19.2712
10/16/2022,1,Compact,10.49,19.2712
10/16/2022,1,Compact,17.52,19.2712
10/16/2022,1,Compact,28.92,19.2712
10/16/2022,1,Compact,32.38,19.2712
10/16/2022,1,Compact,22.62,19.2712
10/16/2022,1,Compact,27.19,19.2712
10/16/2022,1,Compact,10.52,19.2712
10/16/2022,1,Rake,14.39,19.2712
10/16/2022,1,Rake,22.09,19.2712
10/16/2022,1,Rake,32.16,19.2712
10/16/2022,1,Rake,29.37,19.2712
10/16/2022,1,Rake,24.4,19.2712
10/16/2022,1,Rake,11.78,19.2712
10/16/2022,1,Rake,22.86,19.2712
10/16/2022,1,Marine.Debris,7.4,19.2712
10/16/2022,1,Marine.Debris,19.77,19.2712
10/16/2022,1,Marine.Debris,26.62,19.2712
10/16/2022,1,Marine.Debris,7.5,19.2712
10/16/2022,2,Control,33.68,19.2712
10/16/2022,2,Control,20.92,19.2712
10/16/2022,2,Control,19.07,19.2712
10/16/2022,2,Control,40.9,19.2712
10/16/2022,2,Control,51.35,19.2712
10/16/2022,2,Control,7.99,19.2712
10/16/2022,2,Control,12.3,19.2712
10/16/2022,2,Control,35.46,19.2712
10/16/2022,2,Control,19.21,19.2712
10/16/2022,2,Compact,32,19.2712
10/16/2022,2,Compact,13.11,19.2712
10/16/2022,2,Compact,26.53,19.2712
10/16/2022,2,Compact,10.67,19.2712
10/16/2022,2,Compact,23.12,19.2712
10/16/2022,2,Compact,28.49,19.2712
10/16/2022,2,Compact,42.28,19.2712
10/16/2022,2,Compact,42.3,19.2712
10/16/2022,2,Rake,24.28,19.2712
10/16/2022,2,Rake,39.95,19.2712
10/16/2022,2,Rake,21.44,19.2712
10/16/2022,2,Rake,14.76,19.2712
10/16/2022,2,Rake,26.78,19.2712
10/16/2022,2,Rake,23.5,19.2712
10/16/2022,2,Marine.Debris,8.39,19.2712
10/16/2022,2,Marine.Debris,10.52,19.2712
10/16/2022,2,Marine.Debris,36.26,19.2712
10/16/2022,2,Marine.Debris,12.1,19.2712
10/16/2022,2,Marine.Debris,9.09,19.2712
10/16/2022,3,Control,22.85,19.2712
10/16/2022,3,Control,23.65,19.2712
10/16/2022,3,Control,8.53,19.2712
10/16/2022,3,Control,14.16,19.2712
10/16/2022,3,Control,29.29,19.2712
10/16/2022,3,Control,12.95,19.2712
10/16/2022,3,Control,25.26,19.2712
10/16/2022,3,Compact,14.09,19.2712
10/16/2022,3,Compact,8.08,19.2712
10/16/2022,3,Compact,9.39,19.2712
10/16/2022,3,Compact,11.08,19.2712
10/16/2022,3,Compact,4.02,19.2712
10/16/2022,3,Compact,29.29,19.2712
10/16/2022,3,Compact,39.57,19.2712
10/16/2022,3,Rake,19.05,19.2712
10/16/2022,3,Rake,10.75,19.2712
10/16/2022,3,Rake,31.57,19.2712
10/16/2022,3,Rake,22.38,19.2712
10/16/2022,3,Rake,9.64,19.2712
10/16/2022,3,Rake,8.12,19.2712
10/16/2022,3,Rake,7.49,19.2712
10/16/2022,3,Rake,9.44,19.2712
10/16/2022,3,Rake,8.21,19.2712
10/16/2022,3,Rake,9.52,19.2712
10/16/2022,3,Rake,24.95,19.2712
10/16/2022,3,Rake,46.49,19.2712
10/16/2022,3,Rake,22.38,19.2712
10/16/2022,3,Rake,9.93,19.2712
10/16/2022,3,Marine.Debris,12.72,19.2712
10/16/2022,3,Marine.Debris,7.54,19.2712
10/16/2022,3,Marine.Debris,7.15,19.2712
10/16/2022,3,Marine.Debris,29.01,19.2712
10/16/2022,3,Marine.Debris,29.05,19.2712
10/16/2022,3,Marine.Debris,20.03,19.2712
10/16/2022,3,Marine.Debris,14.1,19.2712
10/16/2022,3,Marine.Debris,8.67,19.2712
10/16/2022,3,Marine.Debris,8.37,19.2712
10/16/2022,3,Marine.Debris,21.99,19.2712
10/16/2022,3,Marine.Debris,16.62,19.2712
10/16/2022,3,Marine.Debris,10.09,19.2712
10/16/2022,4,Control,49.38,19.2712
10/16/2022,4,Control,19.36,19.2712
10/16/2022,4,Control,29.91,19.2712
10/16/2022,4,Control,10.91,19.2712
10/16/2022,4,Control,31.31,19.2712
10/16/2022,4,Control,34.81,19.2712
10/16/2022,4,Control,15.44,19.2712
10/16/2022,4,Control,6.16,19.2712
10/16/2022,4,Control,17.3,19.2712
10/16/2022,4,Compact,8.6,19.2712
10/16/2022,4,Compact,6.77,19.2712
10/16/2022,4,Compact,6.28,19.2712
10/16/2022,4,Compact,26.25,19.2712
10/16/2022,4,Compact,10.52,19.2712
10/16/2022,4,Compact,8.3,19.2712
10/16/2022,4,Compact,8.6,19.2712
10/16/2022,4,Compact,31.5,19.2712
10/16/2022,4,Compact,11.27,19.2712
10/16/2022,4,Compact,13.37,19.2712
10/16/2022,4,Compact,13.43,19.2712
10/16/2022,4,Compact,40.69,19.2712
10/16/2022,4,Compact,60.92,19.2712
10/16/2022,4,Compact,16.02,19.2712
10/16/2022,4,Compact,16.02,19.2712
10/16/2022,4,Compact,26.68,19.2712
10/16/2022,4,Compact,29.2,19.2712
10/16/2022,4,Rake,11.65,19.2712
10/16/2022,4,Rake,9.1,19.2712
10/16/2022,4,Rake,14.82,19.2712
10/16/2022,4,Rake,10.04,19.2712
10/16/2022,4,Rake,29.94,19.2712
10/16/2022,4,Rake,31.13,19.2712
10/16/2022,4,Marine.Debris,12.06,19.2712
10/16/2022,4,Marine.Debris,13.89,19.2712
10/16/2022,4,Marine.Debris,19.97,19.2712
10/16/2022,4,Marine.Debris,57.37,19.2712
10/16/2022,4,Marine.Debris,13.26,19.2712
10/16/2022,4,Marine.Debris,26.7,19.2712
10/16/2022,5,Control,7.51,19.2712
10/16/2022,5,Control,6.38,19.2712
