"b1","tree","RF.cat","P","depth","RF","path.dif"
0,1,0,0.229355772174621,0,0,0
0,1,1,0.227556555154322,0.181818181818182,1,0
0,1,2,0.218185346732857,0.272727272727273,2,0
0,1,4,0.101194061452686,0.454545454545455,5,0
0,1,7,0.931010006126562,0.454545454545455,9,0
0,1,15,0.566289695942464,0.727272727272727,27,0
0,1,100,0.233847060299679,0,0,0
0,2,0,0.753154692136879,0,0,0
0,2,1,0.666642543693894,0.142857142857143,1,0
0,2,2,0.731366093562945,0.285714285714286,3,0
0,2,4,0.899969795314165,0.285714285714286,6,0
0,2,7,0.786848233943326,0.428571428571429,10,0
0,2,15,0.626093408430208,1,75,0
0,2,100,0.552244410011233,0,0,0
0,3,0,0.244207066890574,0,0,0
0,3,1,0.279031608066034,0.166666666666667,1,0
0,3,2,0.14539750133101,0.25,2,0
0,3,4,0.268552196448733,0.416666666666667,6,0
0,3,7,0.239102208574162,0.416666666666667,10,0
0,3,15,0.0854219376860294,0.666666666666667,23,0
0,3,100,0.442603025602944,0,0,0
0,4,0,0.808808394731722,0,0,0
0,4,1,0.820988555981475,0.125,1,0
0,4,2,0.814635998480755,0.25,3,0
0,4,4,0.661262422983969,0.3125,4,0
0,4,7,0.600902095292533,0.375,8,0
0,4,15,0.221465137367172,0.9375,76,0
0,4,100,0.421512626475067,0,0,0
0,5,0,0.718206658015771,0,0,0
0,5,1,0.778634236635489,0.2,1,0
0,5,2,0.757264878847793,0.4,3,0
0,5,4,0.795734576057247,0.5,6,0
0,5,7,0.702685249983998,0.5,9,0
0,5,15,0.496203183308603,0.7,16,0
0,5,100,0.309166313729988,0,0,0
0,6,0,0.102985313461123,0,0,0
0,6,1,0.0981377612318167,0.166666666666667,1,0
0,6,2,0.137628567904174,0.25,2,0
0,6,4,0.118835071341083,0.333333333333333,5,0
0,6,7,0.0815320024022688,0.5,7,0
0,6,15,0.0513259820743713,0.75,17,0
0,6,100,0.518664547116325,0,0,0
0,7,0,0.971139910641058,0,0,0
0,7,1,0.965637830138185,0.142857142857143,1,0
0,7,2,0.987270413635699,0.214285714285714,2,0
0,7,4,0.803472598155679,0.357142857142857,5,0
0,7,7,0.886103816717507,0.571428571428571,12,0
0,7,15,0.780356005280133,0.928571428571429,35,0
0,7,100,0.196599556487055,0,0,0
0,8,0,0.792892502685067,0,0,0
0,8,1,0.709011796431228,0.142857142857143,1,0
0,8,2,0.932685154123599,0.214285714285714,2,0
0,8,4,0.582181702744008,0.357142857142857,4,0
0,8,7,0.896174030224059,0.571428571428571,9,0
0,8,15,0.640807736746966,0.571428571428571,17,0
0,8,100,0.95924998211235,0,0,0
0,9,0,0.583515290024383,0,0,0
0,9,1,0.596953047387946,0.142857142857143,1,0
0,9,2,0.453582152968417,0.214285714285714,2,0
0,9,4,0.337561710040889,0.285714285714286,4,0
0,9,7,0.605700096877879,0.5,14,0
0,9,15,0.705223920602747,0.571428571428571,19,0
0,9,100,0.72819267682826,0,0,0
0,10,0,0.158244699006375,0,0,0
0,10,1,0.139227783733739,0.153846153846154,1,0
0,10,2,0.157610483308189,0.307692307692308,3,0
0,10,4,0.180742402286116,0.384615384615385,5,0
0,10,7,0.108291737978873,0.538461538461538,7,0
0,10,15,0.936612558468922,0.615384615384615,19,0
0,10,100,0.328309828496192,0,0,0
0,11,0,0.151540584648357,0,0,0
0,11,1,0.154440246869959,0.133333333333333,1,0
0,11,2,0.322454052322259,0.2,2,0
0,11,4,0.182638524143197,0.266666666666667,4,0
0,11,7,0.0747572385913827,0.333333333333333,7,0
0,11,15,0.129460451731113,0.8,54,0
0,11,100,0.518591063121908,0,0,0
0,12,0,0.905750647246157,0,0,0
0,12,1,0.905814417759847,0.166666666666667,1,0
0,12,2,0.990922191683612,0.333333333333333,3,0
0,12,4,0.878560209862974,0.333333333333333,5,0
0,12,7,0.946490145297141,0.416666666666667,9,0
0,12,15,0.317602800440024,0.666666666666667,20,0
0,12,100,0.378207905422918,0,0,0
0,13,0,0.803111624470125,0,0,0
0,13,1,0.800947574866999,0.153846153846154,1,0
0,13,2,0.906765986213082,0.307692307692308,3,0
0,13,4,0.915340340217492,0.384615384615385,5,0
0,13,7,0.839137234960309,0.384615384615385,8,0
0,13,15,0.609675647147421,0.615384615384615,20,0
0,13,100,0.949337794096133,0,0,0
0,14,0,0.880625259854293,0,0,0
0,14,1,0.829573010178958,0.153846153846154,1,0
0,14,2,0.745212277703685,0.230769230769231,2,0
0,14,4,0.704723580043358,0.384615384615385,5,0
0,14,7,0.48634409874463,0.538461538461538,7,0
0,14,15,0.508855556471767,0.769230769230769,24,0
0,14,100,0.203565419910945,0,0,0
0,15,0,0.19936712644371,0,0,0
0,15,1,0.192711725926659,0.166666666666667,1,0
0,15,2,0.182662968309555,0.25,3,0
0,15,4,0.27120076279255,0.333333333333333,4,0
0,15,7,0.308453960386473,0.583333333333333,11,0
0,15,15,0.785296754993964,0.916666666666667,42,0
0,15,100,0.352346810759696,0,0,0
0,16,0,0.340690441421167,0,0,0
0,16,1,0.319632354702429,0.166666666666667,1,0
0,16,2,0.314623123847797,0.25,2,0
0,16,4,0.595089326351896,0.333333333333333,4,0
0,16,7,0.756271259537024,0.5,13,0
0,16,15,0.43964667287174,0.833333333333333,35,0
0,16,100,0.706133613308545,0,0,0
0,17,0,0.191754543047257,0,0,0
0,17,1,0.332800246311571,0.181818181818182,1,0
0,17,2,0.258889529790226,0.363636363636364,2,0
0,17,4,0.152001783572678,0.545454545454545,5,0
0,17,7,0.340843954024921,0.454545454545455,8,0
0,17,15,0.473784393098605,0.818181818181818,46,0
0,17,100,0.570373288813075,0,0,0
0,18,0,0.329495172053929,0,0,0
0,18,1,0.303369744886534,0.133333333333333,1,0
0,18,2,0.34112162343561,0.2,3,0
0,18,4,0.127703959619305,0.266666666666667,4,0
0,18,7,0.122247725214861,0.4,11,0
0,18,15,0.24785781048309,0.6,17,0
0,18,100,0.36269091961354,0,0,0
0,19,0,0.743657607448137,0,0,0
0,19,1,0.957903791864821,0.142857142857143,1,0
0,19,2,0.729077148963456,0.285714285714286,3,0
0,19,4,0.786065856328315,0.357142857142857,4,0
0,19,7,0.610881180062426,0.357142857142857,7,0
0,19,15,0.842194268831625,0.5,20,0
0,19,100,0.356910335166496,0,0,0
0,20,0,0.577756711881739,0,0,0
0,20,1,0.595565078081445,0.125,1,0
0,20,2,0.558193664215309,0.1875,2,0
0,20,4,0.400058648225328,0.3125,4,0
0,20,7,0.788393035238225,0.5625,11,0
0,20,15,0.47784735384537,0.6875,23,0
0,20,100,0.124983260887384,0,0,0
0,21,0,0.0249774195038497,0,0,0
0,21,1,0.0209851584153912,0.133333333333333,1,0
0,21,2,0.0249408276336524,0.2,2,0
0,21,4,0.0183995212842677,0.333333333333333,4,0
0,21,7,0.0486252454345805,0.4,11,0
0,21,15,0.21726332575511,0.8,42,0
0,21,100,0.225372447305634,0,0,0
0,22,0,0.728228872751698,0,0,0
0,22,1,0.623422786771198,0.181818181818182,1,0
0,22,2,0.707130069066251,0.272727272727273,2,0
0,22,4,0.753260381597676,0.454545454545455,4,0
0,22,7,0.546706969925536,0.636363636363636,10,0
0,22,15,0.382278505789764,0.636363636363636,17,0
0,22,100,0.688135075844002,0,0,0
0,23,0,0.612170094668586,0,0,0
0,23,1,0.564993536702809,0.142857142857143,1,0
0,23,2,0.614740611497788,0.285714285714286,3,0
0,23,4,0.647114133962177,0.357142857142857,4,0
0,23,7,0.304083397246222,0.571428571428571,13,0
0,23,15,0.357488014512949,0.714285714285714,19,0
0,23,100,0.236568548140083,0,0,0
0,24,0,0.503832389470598,0,0,0
0,24,1,0.461064096312404,0.142857142857143,1,0
0,24,2,0.570344723366866,0.285714285714286,3,0
0,24,4,0.465776081489568,0.285714285714286,6,0
0,24,7,0.609267861268862,0.428571428571429,8,0
0,24,15,0.276075554827027,1,81,0
0,24,100,0.510961048254345,0,0,0
0,25,0,0.933315583016592,0,0,0
0,25,1,0.868728773832336,0.222222222222222,1,0
0,25,2,0.989561775958713,0.333333333333333,2,0
0,25,4,0.919302674644798,0.666666666666667,5,0
0,25,7,0.669908109487212,0.666666666666667,9,0
0,25,15,0.713758633080239,0.666666666666667,15,0
